Date,Days,Active Cases MY,New Cases MY,Recovered Cases MY,Death Cases MY,Active Cases IND,New Cases IND,Recovered Cases IND,Death Cases IND,Active Cases SG,New Cases SG,Recovered Cases SG,Death Cases SG,Active Cases JP,New Cases JP,Recovered Cases JP,Death Cases JP,Rate
1/26/2020,1,4,0,0,0,0,0,0,0,4,0,0,0,3,0,1,0,4.06385
1/27/2020,2,4,0,0,0,0,0,0,0,5,0,0,0,3,1,1,0,4.06768
1/28/2020,3,4,3,0,0,0,0,0,0,7,0,0,0,6,3,1,0,4.0824
1/29/2020,4,7,0,0,0,0,0,0,0,7,0,0,0,6,0,1,0,4.07671
1/30/2020,5,8,1,0,0,0,0,0,0,10,0,0,0,10,4,1,0,4.08451
1/31/2020,6,8,0,0,0,0,0,0,0,13,0,0,0,14,4,1,0,4.07681
2/1/2020,7,8,0,0,0,0,0,0,0,16,0,0,0,19,5,1,0,4.09361
2/2/2020,8,8,0,0,0,0,0,0,0,18,0,0,0,19,0,1,0,4.07983
2/3/2020,9,8,0,0,0,0,0,0,0,18,0,0,0,19,0,1,0,4.11568
2/4/2020,10,10,1,1,0,0,0,0,0,23,0,0,0,21,2,1,0,4.11422
2/5/2020,11,12,2,1,0,0,0,0,0,27,0,0,0,21,0,1,0,4.12522
2/6/2020,12,12,2,1,0,0,0,0,0,27,0,0,0,21,0,1,0,4.12994
2/7/2020,13,11,1,1,0,0,0,0,0,28,0,0,0,24,3,1,0,4.14207
2/8/2020,14,14,0,2,0,0,0,0,0,31,0,2,0,24,0,1,0,4.1391
2/9/2020,15,15,0,3,0,0,0,0,0,34,0,2,0,25,1,1,0,4.14169
2/10/2020,16,17,1,3,0,0,0,0,0,38,0,2,0,22,0,4,0,4.16146
2/11/2020,17,15,0,3,0,0,0,0,0,38,0,9,0,17,0,9,0,4.13153
2/12/2020,18,15,0,3,0,0,0,0,0,35,0,15,0,19,2,9,0,4.15087
2/13/2020,19,16,1,3,0,0,0,0,0,43,0,15,0,19,0,9,0,4.14857
2/14/2020,20,16,-4,7,0,0,0,0,0,50,0,17,0,20,1,9,0,4.14256
2/15/2020,21,15,3,7,0,0,0,0,0,54,0,18,0,52,14,12,1,4.139
2/16/2020,22,15,-1,8,0,0,0,0,0,55,0,18,0,58,6,12,1,4.14029
2/17/2020,23,15,-1,9,0,0,0,0,0,53,0,24,0,47,7,12,1,4.14568
2/18/2020,24,9,-4,13,0,0,0,0,0,52,4,29,0,53,8,13,1,4.16505
2/19/2020,25,7,-4,17,0,0,0,0,0,50,0,34,0,63,10,18,1,4.15649
2/20/2020,26,7,0,17,0,0,0,0,0,47,0,34,0,73,10,18,1,4.18781
2/21/2020,27,7,0,17,0,0,0,0,0,38,0,37,0,86,15,22,1,4.17679
2/22/2020,28,7,-1,18,0,0,0,0,0,36,0,37,0,111,25,22,1,4.18661
2/23/2020,29,7,0,18,0,0,0,0,0,38,0,51,0,122,12,22,1,4.18394
2/24/2020,30,4,-2,20,0,0,0,0,0,36,0,51,0,135,13,22,1,4.21456
2/25/2020,31,4,0,20,0,0,0,0,0,33,0,53,0,137,2,22,1,4.21746
2/26/2020,32,4,0,20,0,0,0,0,0,31,0,62,0,146,11,22,3,4.22647
2/27/2020,33,5,0,22,0,0,0,0,0,27,0,62,0,178,42,22,4,4.18895
2/28/2020,34,5,1,22,0,0,0,0,0,24,0,62,0,196,19,22,5,4.20274
2/29/2020,35,7,4,22,0,0,0,0,0,30,4,72,0,204,8,32,5,4.2111
3/1/2020,36,11,0,22,0,0,0,0,0,32,4,72,0,208,15,32,6,4.21176
3/2/2020,37,11,4,22,0,2,2,0,0,30,0,78,0,226,18,32,6,4.19424
3/3/2020,38,14,3,22,0,2,0,0,0,32,0,78,0,244,19,43,6,4.18217
3/4/2020,39,28,14,22,0,2,0,0,0,31,0,78,0,282,38,43,6,4.18571
3/5/2020,40,28,5,22,0,2,0,0,0,36,5,78,0,315,33,43,6,4.14192
3/6/2020,41,61,27,23,0,4,2,0,0,48,13,78,0,365,56,46,6,4.18767
3/7/2020,42,70,10,23,0,4,0,0,0,48,8,78,0,379,41,76,6,4.16951
3/8/2020,43,75,5,24,0,6,2,0,0,59,12,78,0,419,41,76,4,4.17186
3/9/2020,44,93,18,24,0,19,13,0,0,57,10,78,0,437,28,76,9,4.2069
3/10/2020,45,105,11,25,0,25,8,2,0,67,6,78,0,473,57,101,12,4.26302
3/11/2020,46,123,19,26,0,31,7,2,1,82,12,96,0,506,52,118,15,4.25759
3/12/2020,47,123,3,32,0,30,0,2,1,82,9,96,0,554,52,118,19,4.29002
3/13/2020,48,171,38,33,0,60,35,2,4,103,13,97,0,595,43,118,21,4.29819
3/14/2020,49,238,39,35,0,83,27,8,5,107,12,105,0,638,70,118,22,4.276
3/15/2020,50,386,183,42,0,104,21,8,5,121,14,105,0,665,29,118,24,4.28083
3/16/2020,51,524,125,42,0,121,17,8,5,134,17,109,0,678,17,144,28,4.31143
3/17/2020,52,622,111,49,2,156,38,9,7,152,23,114,0,705,28,144,29,4.35254
3/18/2020,53,728,106,60,2,197,55,11,19,196,47,114,0,694,36,144,29,4.39652
3/19/2020,54,823,95,75,2,269,82,15,25,221,32,114,0,719,29,150,33,4.4527
3/20/2020,55,940,118,87,2,320,60,17,32,254,40,124,0,757,64,191,35,4.40063
3/21/2020,56,1065,124,114,4,392,81,20,38,290,47,140,2,803,47,232,36,4.392
3/22/2020,57,1157,92,139,10,437,64,29,48,309,23,144,2,825,47,235,41,4.3909
3/23/2020,58,1345,188,159,14,500,65,30,49,355,54,144,2,851,27,235,42,4.4278
3/24/2020,59,1425,81,183,15,601,107,30,55,401,49,156,2,865,65,285,43,4.4636
3/25/2020,60,1577,152,199,19,701,104,31,58,469,73,160,2,952,114,310,45,4.35897
3/26/2020,61,1793,215,215,23,780,103,35,78,509,52,172,2,981,80,359,47,4.30618
3/27/2020,62,1876,83,259,26,913,153,46,87,547,49,183,2,1078,112,372,49,4.27601
3/28/2020,63,1973,97,320,27,994,109,59,102,602,70,198,2,1237,194,404,52,4.3251
3/29/2020,64,2047,75,388,34,1107,130,64,114,629,42,212,3,1388,173,424,54,4.28231
3/30/2020,65,2110,62,479,37,1217,129,75,122,648,35,228,3,1473,87,424,56,4.34052
3/31/2020,66,2186,76,537,43,1311,114,81,136,683,47,240,3,1697,225,424,57,4.28768
4/1/2020,67,2218,32,645,45,1417,149,103,157,752,74,245,3,1855,206,472,57,4.35603
4/2/2020,68,2299,81,767,50,1508,113,112,170,779,49,266,4,2082,233,472,63,4.38334
4/3/2020,69,2453,154,827,53,1671,196,134,181,827,65,282,5,2352,318,514,69,4.35213
4/4/2020,70,2511,58,915,57,1751,106,150,191,886,75,297,6,2548,204,514,77,4.355
4/5/2020,71,2596,85,1005,61,1911,181,164,198,983,120,320,6,2994,515,514,85,4.358
4/6/2020,72,2490,-106,1241,62,2090,218,192,209,1025,66,344,6,3222,252,575,92,4.36678
4/7/2020,73,2579,89,1321,63,2313,247,204,221,1098,106,377,6,3542,351,592,93,4.33716
4/8/2020,74,2567,-12,1487,65,2494,218,222,240,1211,142,406,6,3941,410,622,94,4.3556
4/9/2020,75,2553,-14,1608,67,2761,337,252,280,1443,287,460,6,4563,680,632,99,4.30854
4/10/2020,76,2446,-107,1830,70,2924,219,282,306,1609,198,492,7,5221,658,685,99,4.30885
4/11/2020,77,2462,16,1995,73,3299,330,286,327,1763,191,528,8,5878,743,762,108,4.3073
4/12/2020,78,2499,37,2108,76,3509,399,359,373,1964,233,560,8,6463,622,762,123,4.31074
4/13/2020,79,2464,-35,2276,77,3778,316,380,399,2323,386,586,9,6676,248,784,143,4.32914
4/14/2020,80,2427,-37,2478,82,3954,282,426,459,2631,334,611,10,6886,267,799,146,4.31877
4/15/2020 ,81,2342,-85,2647,83,4221,297,446,469,3037,447,652,10,7547,741,853,178,4.33887
4/16/2020,82,2332,-10,2766,84,4472,380,548,496,3734,728,683,10,8106,605,901,190,4.3826
4/17/2020,83,2198,-134,2967,86,4796,407,607,520,4331,623,708,11,8662,556,935,190,4.35463
4/18/2020,84,2115,-83,3102,88,5082,325,631,535,5241,942,740,11,9005,509,1069,222,4.3675
4/19/2020 ,85,2103,-12,3197,89,5307,327,686,582,5809,596,768,11,9402,501,1159,236,4.37
4/20/2020 ,86,2041,-62,3295,89,5423,185,747,590,7202,1426,801,11,9633,338,1159,263,4.37227
4/21/2020 ,87,2041,0,3349,92,5677,375,842,616,8275,1111,839,11,9875,377,1239,281,4.38519
4/22/2020,88,1987,-54,3452,93,5870,283,913,635,9233,1016,896,12,10227,438,1356,299,4.38675
4/23/2020 ,89,1966,-21,3542,95,6168,357,960,647,10242,1037,324,12,10546,418,1494,328,4.35868
4/24/2020,90,1932,-34,3663,96,6520,436,1002,689,11139,897,956,12,10837,344,1530,345,4.34598
4/25/2020,91,1882,-50,3762,98,6845,396,1042,720,11679,618,1002,12,11215,519,1656,360,4.357
4/26/2020,92,1820,-62,3862,98,7032,275,1107,743,12552,931,1060,12,11268,218,1809,372,4.347
4/27/2020,93,1764,-56,3957,99,7180,214,1151,765,13314,799,1095,14,11330,165,1899,385,4.36673
4/28/2020,94,1719,-45,4032,100,7484,415,1254,773,13809,528,1128,14,11443,122,1899,394,4.38892
4/29/2020,95,1758,39,4087,100,7596,260,1391,784,14439,690,1188,14,11114,159,2368,413,4.33793
4/30/2020 ,96,1729,-29,4171,102,7804,347,1522,792,14910,528,1244,15,11198,193,2460,430,4.27029
5/1/2020,97,1758,29,4210,103,8161,433,1591,800,15817,932,1268,16,10875,217,2975,455,4.2589
5/2/2020,98,1747,-11,4326,103,8347,292,1665,831,16184,447,1347,17,10892,266,3205,474,4.295
5/3/2020,99,1780,33,4413,105,8471,349,1876,845,16779,657,1408,18,10409,306,3981,487,4.26187
5/4/2020,100,1764,-16,4484,105,8769,395,1954,864,17303,573,1457,18,10386,201,4156,536,4.32758
5/5/2020,101,1710,-54,4567,106,9002,484,2197,872,17873,632,1519,18,10201,175,4496,556,4.30529
5/6/2020,102,1619,-91,4702,107,9226,367,2317,895,18544,788,1634,20,10201,0,4496,556,4.32561
5/7/2020,103,1584,-35,4776,107,9465,338,2381,930,19207,741,1712,20,9982,224,4918,577,4.30857
5/8/2020,104,1564,-20,4864,107,9675,336,2494,943,19647,768,2040,20,9839,98,5146,590,4.33573
5/9/2020,105,1552,-12,4929,108,10079,533,2607,959,20144,753,2296,20,9150,88,5906,607,4.3315
5/10/2020,106,1523,-29,5025,108,10361,387,2698,973,20595,876,2721,20,7026,114,8127,624,4.33821
5/11/2020,107,1504,-19,5113,109,10393,233,2881,991,20541,451,3225,21,6921,70,8293,633,4.33832
5/12/2020,108,1410,-94,5223,109,10679,484,3063,1007,20799,884,3851,21,6780,121,8531,657,4.32504
5/13/2020 ,109,1387,-23,5281,111,11123,689,3287,1028,20516,675,4809,21,6451,81,8920,678,4.3455
5/14/2020 ,110,1356,-31,5351,112,11445,568,3518,1043,20104,752,5973,21,5555,71,9868,697,4.33324
5/15/2020 ,111,1304,-52,5439,112,11617,490,3803,1076,19622,793,7248,21,5152,83,10338,713,4.34705
5/16/2020 ,112,1247,-57,5512,113,12025,529,3911,1089,18992,465,8342,22,5174,34,10338,725,4.3492
5/17/2020 ,113,1210,-37,5571,113,12237,489,4129,1148,18676,682,9340,22,4388,48,11153,744,4.34827
5/18/2020,114,1213,3,5615,113,12495,496,4324,1191,18486,305,9835,22,3992,20,11564,749,4.32831
5/19/2020,115,1218,5,5646,114,12808,486,4467,1221,18407,451,10365,22,4035,62,11564,768,4.36426
5/20/2020,116,1189,-29,5706,114,13372,693,4575,1242,18135,570,11207,22,3328,18,11564,771,4.34144
5/21/2020,117,1149,-40,5796,114,14046,973,4838,1278,17672,448,12117,22,2975,39,12672,777,4.35887
5/22/2020 ,118,1163,14,5859,115,14413,634,5057,1326,17408,614,12995,23,2712,89,13005,796,4.36272
5/23/2020 ,119,1163,-5,5912,115,15145,949,5249,1351,17163,642,13882,23,2484,23,13244,808,4.361
5/24/2020 ,120,1185,27,5945,115,15497,526,5402,1372,16717,548,14876,23,2317,14,13413,820,4.36505
5/25/2020,121,1323,138,5979,115,15717,479,5642,1391,16199,344,15738,23,2139,31,13612,830,4.36607
5/26/2020 ,122,1448,125,6041,115,15870,415,5877,1418,15876,383,16444,23,1967,42,13810,846,4.35292
5/27/2020 ,123,1421,-27,6083,115,16321,686,6057,1473,15577,533,17276,23,1820,28,13973,858,4.35114
5/28/2020 ,124,1345,-76,6169,115,16802,687,6240,1496,14932,373,18294,23,1669,32,14096,867,4.32681
5/29/2020,125,1382,37,6235,115,17204,678,6492,1520,14206,611,19631,23,1591,36,14213,874,4.35537
5/30/2020 ,126,1317,-65,6330,115,17185,557,7015,1573,13616,506,20727,23,1512,85,14267,886,4.345
5/31/2020 ,127,1351,34,6353,115,17552,700,7308,1613,13162,518,21699,23,1501,47,14342,891,4.34777
6/1/2020,128,1338,-13,6404,115,17662,467,7637,1641,12802,408,22466,24,1490,33,14463,892,4.30794
6/2/2020,129,1292,-46,6470,115,17951,609,7935,1663,12637,544,23175,24,1386,46,14585,894,4.27699
6/3/2020,130,1324,32,6531,115,18129,684,8406,1698,12799,569,23582,24,1315,56,14702,900,4.24805
6/4/2020,131,1573,249,6559,115,18205,585,8892,1721,12994,517,23904,24,1248,32,14785,903,4.22983
6/5/2020,132,1540,-33,6610,116,18308,703,9443,1770,12950,261,24209,24,1185,46,14925,907,4.2824
6/6/2020,133,1551,11,6635,117,18806,993,9907,1801,12943,344,24559,25,1110,39,14927,914,4.265
6/7/2020,134,1531,-20,6674,117,18837,672,10498,1851,12999,383,24886,25,1086,38,14990,916,4.27907
6/8/2020,135,1518,-13,6694,117,19246,847,10904,1883,12903,386,25368,25,1110,33,15043,916,4.25984
6/9/2020,136,1244,-274,6975,117,19739,1043,11414,1923,12612,218,25877,25,1081,36,15141,916,4.25579
6/10/2020,137,1206,-38,7014,118,20228,1240,12129,1959,12408,451,26532,25,1034,41,15226,919,4.24758
6/11/2020,138,1186,-20,7065,118,20659,979,12636,2000,12076,422,27286,25,989,41,15311,920,4.27576
6/12/2020,139,1115,-71,7168,119,21145,1111,13213,2048,11785,463,28040,25,917,40,15421,922,4.28344
6/13/2020 ,140,1014,-101,7168,120,21553,1014,13776,2091,11363,347,28808,26,878,50,15508,924,4.268
6/14/2020,141,986,-28,7311,121,21612,857,14531,2134,10989,407,29589,26,861,47,15571,925,4.29045
